id;Nome;Tipo;Sigla;Setor;Status;Sond;Data Aquisição;Última Calibração;Periodicidade;Status Calibração;Fabricante;Modelo;Modelo Técnico;Número de Série;Informações Extras
1;PRE-MP-001;Prensa;PRE;COM;ativo;864;02-02-2023;21-08-2024;12;Não_Calibrado;Ownlab;;Multiuso Especiais;0243;MP01-MULTIPRENSA 10 Ton
2;PRE-MP-002;Prensa;PRE;COM;ativo;1257;10-10-2024;21-07-2025;12;Calibrado;Wonlab;;MP01;0244;MULTIPRENSA 10Ton / Multiuso CBR / 220V / Peso: 240kg / Ano 2022.
3;PRE-001;Prensa;PRE;COM;ativo;59;01-05-2011;21-07-2025;12;Calibrado;Solotest;;CSR-ST (Referência 1.022.220);20110331/112502008;Prensa eletrom.autom.p/ensaio CBR/Marshall e tambem ensaios genericos demandem controle da veloc. de subida do prato e medicao da deformacao. Os resultados sao armazenados na memoria da prensa, podendo ser visualizados e/ou transferidos p/computador PC.Inclui cel.de carga(5000Kgf) LVDT(25 mm)220V-50/60Hz
4;PRE-002;Prensa;PRE;COM;ativo;60;30-04-2014;21-07-2025;12;Calibrado;Solotest;;CSR-ST (Referência 1.022.220);20110936/120700613;Prensa eletrom.autom.p/ensaio CBR/Marshall e tambem ensaios genericos demandem controle da veloc. de subida do prato e medicao da deformacao. Os resultados sao armazenados na memoria da prensa, podendo ser visualizados e/ou transferidos p/computador PC.Inclui cel.de carga(5000Kgf) LVDT(25 mm)220V-50/60Hz
5;BAL-011;Balança;BAL;COM;ativo;81;01-01-2021;12-06-2025;12;Calibrado;Marte;;AD500 (Classe II;377958 - Compactação;Voltou da manutenção dia 30/08 Setor: Compactação
6;BAL-020;Balança;BAL;COM;ativo;792;07-11-2022;04-06-2025;12;Calibrado;Marte Cientifica;;AD5002;452558 - Compactação;Balança de Precisão Marte modelo AD 5002 - 5010 g- 5010 g e div. 0,01 g - RS 232 / TopLab. Balança voltou do reparo. Setor: Compactação
7;BAL-014;Balança;BAL;COM;ativo;542;15-02-2021;04-06-2025;12;Calibrado;PRIX;;9094C/5;12657700 - Compactação;BALANCA ELET. DIG. MOD. 9094-15KG (balança voltou da manutenção) 11/12/2024. Próxima calibração 11/2025.
8;BAL-017;Balança;BAL;COM;ativo;775;01-01-2019;04-06-2025;12;Calibrado;Marte Cientifica;;AD5002;26908408-3 - Compactação;Balança de Precisão Marte modelo AD 5002 - 5010 g- 5010 g e div. 0,01 g - RS 232 / TopLab *Setor compactação*
9;BAL-023;Balança;BAL;COM;ativo;1329;25-10-2024;04-06-2025;12;Calibrado;PRIX;;9094C/10;13793425 - Compactação;BALANCA ELET. DIG. MOD-9094 (balança está sendo usada para o setor da compactação) GARANTIA DE 06 MESES, A PARTIR DA DATA DA NOTA FISCAL (A GARANTIA ESTÁ NA CAIXA) SETOR: COMPACTAÇÃO
10;BAL-009;Balança;BAL;COM;ativo;79;01-01-2021;04-06-2025;12;Calibrado;KN Waagen;;;K0010/2018 - Compactação;Balança KN Waagen16 kg Setor : Pesagem 5kg - compactação
11;EST-007;Estufa;EST;COM;ativo;1050;31-07-2023;14-05-2025;12;Calibrado;Quimis;;Q317M-72;AF070469;ESTUFA DE SECAGEM MICROPROCESSADA 336 LITROS 200°C
12;PEN-017;Peneira;PEN;COM;inativo;179;01-02-2013;;12;Não_Calibrado;;Malha 1 1/2;Ø 8x2”;1.1/2Y;Malha 1.1/2 Peneira de análise granulométrica Abert 37,5mm
13;PEN-023;Peneira;PEN;COM;ativo;185;01-02-2013;;12;Especial;Solotest;Malha 10;Ø 8x2” Abert 2,00mm Malha 10;10Y;Peneira de análise granulométrica Abert 2,00mm Malha 10
14;BAL-004;Balança;BAL;DOS;ativo;74;01-01-2021;04-06-2025;12;Calibrado;Toledo;;PRIX 3/14 (Classe III);10764973 - Dosagem;Balança eletrônica digital 15 kg - Toledo Setor: Dosagem
15;PEN-043;Peneira;PEN;DOS;ativo;606;07-04-2022;24-04-2023;12;Não_Calibrado;Lacerda;Malha 40;12,500mm - N1/2 - Malha 40;PC-24/22;Peneira RED 8x2 - 12,500 - N1/2 - Malha 40
16;PEN-032;Peneira;PEN;DOS;ativo;194;01-02-2013;;12;Incerto;Solotest;Malha 4;Abert 4,75mm Malha 4;107613;Peneira de análise granulométrica Abert 4,75mm Malha 4
17;PP-001;Peso Padrão;PP;EE1;ativo;204;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (10g)
18;PP-002;Peso Padrão;PP;EE1;ativo;205;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (20g)
19;PP-003;Peso Padrão;PP;EE1;ativo;208;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (50g)
20;PP-004;Peso Padrão;PP;EE1;ativo;209;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (100g)
21;PP-005;Peso Padrão;PP;EE1;ativo;210;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (200g)
22;PP-006;Peso Padrão;PP;EE1;ativo;211;;10-02-2025;12;Calibrado;KN Waagen;;classe F1- OIML;13065401;Peso Padrão (500g)
23;PP-007;Peso Padrão;PP;EE1;ativo;212;;06-03-2025;60;Calibrado;KN Waagen;;classe F1- OIML;13065402;Peso Padrão (5kg)
24;AD-001;Prensa;AD;EE1;ativo;61;16-10-2019;21-07-2025;12;Calibrado;Solotest Aparelhos para Mecânica do Solo Ltda.;;Tipo Bishop;23795;Equipamento para ensaio de Adensamento
25;AD-002;Prensa;AD;EE1;ativo;62;31-07-2020;21-07-2025;12;Calibrado;Viatest;;Tipo Bishop;WS-140629009 ID 02685;Equipamento para ensaio de Adensamento
26;AD-003;Prensa;AD;EE1;ativo;63;31-07-2020;21-07-2025;12;Calibrado;Viatest;;Tipo Bishop;WS-140629009 ID 11012;Equipamento para ensaio de Adensamento
27;AD-004;Prensa;AD;EE1;ativo;64;31-07-2020;21-07-2025;12;Calibrado;Viatest;;Tipo Bishop;WS-140629009 ID 11011;Equipamento para ensaio de Adensamento
28;PP-008;Peso Padrão;PP;EE1;inativo;1482;;27-12-2024;12;Calibrado;;;Classe M3 OIML;;Peso padrão 10g
